,country,"Intentional homicides (per 100,000 people)","Suicide mortality rate (per 100,000 population)"
157,Botswana,,19.355555555555554
158,Chad,,7.0
159,Comoros,,5.355555555555556
160,Congo,,7.377777777777778
161,Cote d'Ivoire,,10.077777777777778
162,Democratic People's Republic of Korea,,9.855555555555556
163,Democratic Republic of the Congo,,6.722222222222222
164,Djibouti,,9.18888888888889
165,Equatorial Guinea,,9.055555555555555
166,Eritrea,,11.677777777777777
167,Gabon,,9.100000000000001
168,Gambia,,5.088888888888889
169,Guinea,,7.077777777777778
170,Lao People's Democratic Republic,,5.622222222222223
171,Libya,,5.366666666666666
172,Madagascar,,5.555555555555555
173,Mali,,4.300000000000001
174,Mauritania,,3.066666666666667
175,Micronesia (Federated States of),,26.688888888888886
176,Papua New Guinea,,2.8444444444444446
177,Solomon Islands,,15.233333333333333
178,Somalia,,8.022222222222222
179,Sudan,,3.922222222222222
180,Togo,,9.633333333333333
181,Turkmenistan,,6.477777777777778
182,Vanuatu,,18.4
